"id","age","gender","orientation","relation_length","relation_type","se_share","se_antic","se_sync","se_persp","se_sim","se_realc","se_realev","se_cert","rel_identity_1","rel_identity_2","rel_identity_3","rel_identity_4","rel_identity_5","rel_identity_6","rel_identity_7","rel_identity_8","rel_identity_9","rel_identity_10","rel_identity_11","responsive_1","responsive_2","responsive_3","responsive_4","responsive_5","responsive_6","responsive_7","responsive_8","responsive_9","responsive_10","responsive_11","responsive_12","responsive_13","responsive_14","responsive_15","responsive_16","responsive_17","intimate_1","intimate_2","intimate_3","satisfact_1","satisfact_2","satisfact_3","satisfact_4","satisfact_5","satisfact_6"
76,32,2,1,8,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
77,64,1,1,44,5,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,1,1,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
78,47,2,1,6,1,4,5,5,5,6,6,5,4,4,7,7,5,6,7,6,2,2,4,6,5,3,5,5,3,3,3,4,3,3,3,3,5,4,4,4,3,4,5,3,3,4,3,4,3,7
79,23,2,4,4,2,5,4,5,6,5,5,6,6,7,7,7,7,7,7,7,1,1,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
80,31,2,1,1,1,3,2,5,5,5,4,6,4,4,5,6,4,5,5,5,2,3,2,6,6,4,6,6,6,3,7,4,4,7,2,7,7,6,7,5,3,4,5,4,6,4,4,5,4,6
81,25,1,1,6,2,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
82,23,1,1,1,4,6,6,5,6,6,7,6,6,6,7,7,6,5,7,6,3,3,6,7,7,6,7,6,7,6,6,7,7,7,7,7,6,7,7,7,7,6,6,6,7,6,7,7,7,7
83,22,1,2,2,3,6,6,6,6,6,4,4,6,6,6,6,6,7,6,7,1,2,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7
84,35,2,1,10,5,7,6,6,6,6,7,6,6,7,7,7,7,7,7,7,1,1,7,7,7,7,6,7,6,6,5,5,5,6,6,6,6,6,6,6,5,7,7,7,7,6,6,7,7,7
85,27,2,1,9,5,5,6,6,6,6,6,7,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,6,5,6,6,6,6,5,6
86,36,2,1,14,5,5,7,6,6,6,6,7,5,6,7,7,6,7,7,7,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
87,28,1,1,3,1,5,6,6,6,6,5,6,5,6,6,6,6,5,6,6,5,5,5,6,6,6,6,7,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,7,7,7
88,26,2,1,8,5,6,5,7,7,3,4,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
